Requirement ID,Requirement Text,Type,Subtype
SRS_Can_01053,"The CAN Driver shall provide a service to change the CAN controller mode, supporting states: UNINIT, STOPPED, STARTED, and SLEEP.",FR,Normal Operation
SRS_Can_01054,The CAN Driver shall provide a notification for controller wakeup events. The driver shall notify the Service Layer in case of a wake-up interrupt; this feature is Pre-Compile-Time configurable.,FR,Normal Operation
SRS_Can_01122,The CAN driver shall support the situation where a wakeup by bus occurs during the same time the transition to standby/sleep is in progress. The driver shall raise the Wake-up Notification immediately after the standby/sleep API has finished.,FR,Normal Operation
SRS_Can_01132,The CAN driver shall be able to detect notification events message object specific by CAN-Interrupt and polling. Both mechanisms shall be configurable for each message object if supported by CAN Hardware.,FR,Normal Operation
SRS_Can_01134,"The CAN Driver shall support multiplexed transmission (three TX HW objects represented as one Hardware Object Handle) if supported by the underlying CAN Controller, to avoid outer priority inversion.",FR,Normal Operation
SRS_Can_01147,The CAN Driver shall not support remote frames. The CAN driver shall not transmit messages triggered by remote transmission requests and shall initialize the CAN HW to ignore any remote transmission requests.,FR,Normal Operation
SRS_Can_01161,The CAN driver shall be able to operate with both classic CAN and CAN FD frames on one CAN Controller if supported by CAN Hardware. CAN FD frames support up to 64 bytes per frame at a higher baud rate.,FR,Normal Operation
SRS_Can_02001,The CAN Driver shall support CAN XL besides CAN 2.0 and CAN FD. CAN XL provides higher bandwidth and allows native tunneling of Ethernet frames.,FR,Normal Operation
SRS_Can_01167,"The CAN Driver shall provide a function to return the current CAN controller error state (ACTIVE, PASSIVE, BUSOFF).",FR,Normal Operation
SRS_Can_01170,The CAN Driver shall provide a function to return the current CAN controller Rx and Tx error counters via dedicated functions.,FR,Normal Operation
SRS_Can_02006,The CAN Driver shall provide a service to fetch the message state of an L-PDU. (Status: DRAFT) L-PDUs encapsulated with IEEE1722 protocol require the message state added to the ACF header.,FR,Normal Operation
SRS_Can_01166,The CAN Driver shall implement an interface for de-initialization. This service shall de-initialize the CAN Hardware Unit and its Controllers to allow re-configuration without an ECU reset.,FR,Shutdown
SRS_Can_01055,CAN Driver shall provide a notification for bus-off state. The driver shall notify the CAN Interface if the CAN Controller goes in bus-off state via a static callback function.,FR,Fault Handling
SRS_Can_01060,The CAN driver shall not recover from bus-off automatically. Bus-off recovery shall be software driven; automatic hardware recovery must be suppressed by software.,FR,Fault Handling
SRS_Can_01015,CAN Interface shall import communication matrix,FR,Configuration
SRS_Can_01016,CAN Interface shall access driver configuration,FR,Configuration
SRS_Can_01033,The CAN Driver shall fulfill the general requirements for Basic Software Modules as specified in AUTOSAR_SRS_SPAL.,NFR,Reliability
SRS_Can_01034,The CAN Driver shall fulfill the general requirements for Basic Software Modules as specified in AUTOSAR_SRS_SPAL.,NFR,Portability
SRS_Can_01035,The CAN Driver shall support multiple CAN controllers of the same CAN hardware unit. It shall be possible Pre-Compile-Time to de-select an unused CAN Controller.,NFR,Scalability
SRS_Can_01001,The CAN Interface implementation and interface shall be independent from the underlying CAN Controller and CAN Transceiver. The Hardware Abstraction Layer encapsulates different mechanisms of hardware access.,NFR,Portability
SRS_Can_01142,"The CAN State Manager shall offer a network abstract API to the upper layer (ComM). The CAN State Manager handles states of peripherals assigned to a network, performing Init, Start, Stop, WakeUp, Sleep, and BusOff Recovery actions.",NFR,Usability
SRS_Can_01014,The CAN State Manager shall offer a network configuration independent interface for upper layers. The interface to upper layers shall be independent from the network configuration.,NFR,Portability
SRS_Can_01125,The CAN stack shall ensure not to lose messages in receive direction. The HW receive buffer shall be read out in a time frame that no message is lost for a bus load of 100% with a payload of 1 byte.,NFR,Performance
SRS_Can_01126,"The CAN stack shall be able to produce 100% bus load (except gaps resulting from not using multiplexed HW transmit buffers), using CAN frames with 1 byte payload.",NFR,Performance
