Requirement,Type
as a software developer i want an automatic testcase generation tool to integrate with my continuous integrationcontinuous deployment pipeline so that i can ensure that any changes made to the codebase do not introduce new bugs or regressions,NFR
as a software integrator i need the new system to work with our existing legacy systems,NFR
as a student i want the cms to be compatible with reference management software so that i can cite sources easily,NFR
as a system admin i need the software to integrate smoothly with different database systems,NFR
as a system administrator i want electronic medical records emrs to be integrated with the new management system so that there is a digital collection of a patients medical information available,NFR
as a system administrator i want the software to be compatible with our existing hardware so that integration costs are minimal,NFR
as a system administrator i want to migrate data from an older version of neurohub to the current version,NFR
as a system administrator i want to run a script that installs the neurohub node onto a virgin ubuntu operating system,NFR
as a system integrator i want the software to work with various data formats so that integration is seamless,NFR
as a systems administrator i want to install neurohub dependencies into an ubuntu 1004 lts machine using the normal ubuntu package management tools,NFR
as a teacher i want the system to be compatible with standardized testing formats so that i can prepare students for these assessments,NFR
as a teacher i want to integrate the system with external educational tools and platforms so that students have a broad range of learning resources,NFR
as a teacher i want to integrate the system with library resources so that students can access a wide range of academic materials,NFR
as a tester i want to be able to generate test cases that are compatible with different platforms and environments so that i can ensure that the software is reliable across different systems,NFR
as a university staff member i want the cms to integrate seamlessly with existing student information systems so that all digital assets are correlated with the relevant courses and students,NFR
as a university student i want the educational app to integrate with my academic tools so that my learning experience is cohesive,NFR
as a user i expect the website to be compatible with all major web browsers,NFR
as a user i want the app to be compatible with both ios and android so that i can chat with all my friends regardless of their device,NFR
as a user i want the app to be compatible with both ios and android so that i can use it regardless of my device,NFR
as a user i want the app to be compatible with different screen sizes and resolutions so that it looks good on any device,NFR
as a user i want the app to be compatible with gym equipment so that i can automatically log workouts from machines like treadmills or stationary bikes,NFR
as a user i want the app to be compatible with my wearable devices so that i can receive alerts and health recommendations,NFR
as a user i want the app to be compatible with various devices and screen sizes so that i can use it on any of my devices,NFR
as a user i want the option to export the converted text in various formats such as pdf or word so that i can use it in different applications,NFR
as a user i want to be able to sync my fitness data with other apps and devices so that i can have a comprehensive view of my health,NFR
as a user i want to be able to upload documents in various file formats such as jpeg png or pdf so that i can convert files directly from my camera or scanner,NFR
as a user i want to download data in nongis formats eg csv geojson,NFR
as a user i want to download vt gis data layers in esri file geodatabase format,NFR
as a user i want to download vt gis data layers in esri shapefile format,NFR
as a user i want to download vt gis data layers in gml format,NFR
as a user i want to download vt gis data layers in kml format,NFR
as a user i want to have access to data warehouse capabilities via a published api eg rest endpoint so i can integrate it,NFR
as a user i want to integrate aerial photos eg vt orthos into my own web mashups,NFR
as a user i want to integrate vt gis data layers into my own web mashups,NFR
as a user i want to sync events created in neurohub with a webbased calendar such as google calendar,NFR
as a visually impaired user i want the app to be compatible with screen readers so that i can use it independently,NFR
as admin im able to import event records,NFR
as an administrator i want the cms to integrate with the universitys event calendar so that students can stay informed about upcoming events,NFR
as an administrator i want to export rulebase parts to standard formats so that information exchange with other systems can happen,NFR
as an administrator i want to have a connection with magicdraw so that implementation details can easily be connected to business rules,NFR
as an app developer i want the application to be compatible with the latest os versions so that it stays relevant,NFR
as an app developer i want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment,NFR
as an archivist i want to export agent records as eaccpf,NFR
as an archivist i want to import accessions data in csv,NFR
as an archivist i want to import agent information from eaccpf records,NFR
as an archivist i want to import ead data,NFR
as an archivist i want to import ead files that were exported by archon,NFR
as an archivist i want to import ead files that were exported by the archivists toolkit,NFR
as an archivist i want to import only agent and subject information from marcxml records,NFR
as an archivist i want to import resources from marcxml records,NFR
as an archivist i want to upload an ead for import from within the frontend application,NFR
as an archivist i want to use archival content on the rac website so that i can integrate our collections into our web presence,NFR
as an ez developer i want to have my development environment ready to work with the ez event site bundle,NFR
as an ez developer i want to have the ez event site bundle in a github repository,NFR
as an it manager i need to integrate the new software with our existing network infrastructure,NFR
as an it manager i want ipv6 support by cms sitemanager so im ensured that cms sitemanager will work fine once ipv6 is applied into our hostingnetwork environment,NFR
as an it manager i want the new software to integrate with our current systems so that we have a unified workflow,NFR
as an it manager i want the software to integrate with our existing crm system,NFR
as an online gamer i want the game to be compatible with different gaming platforms so that it is widely accessible,NFR
as an online teacher i want the teaching platform to be compatible with various digital whiteboards so that my lessons are interactive and engaging,NFR
as an univitservice i want to integrate the archive with existing university systems such as ldap so that the cost of administering the system can be kept low,NFR
as metadata architect i want to be able to use batch tools to ingest update and export descriptive and administrative metadata in lieu of mets ingest,NFR
as patient i want to be able to link my fitness device to this software so that i can make use of the data that is generated by my fitness device,NFR
as repository developer i want to find opportunities to merge functionality in batch tools,NFR
"As a manager, I need seamless integration with external systems.",NFR
"As a analyst, I want the application to be compatible with various browsers to ensure smooth operations.",NFR
"As a end-user, I want seamless integration with third-party CRM to avoid compatibility problems.",NFR
"As a end-user, I want the application to be compatible with various browsers to ensure smooth operations.",NFR
"As a admin, I need the system to work across multiple device types without issues.",NFR
"As a end-user, I need the system to work across desktops, tablets, and smartphones without issues.",NFR
"As a analyst, I want seamless integration with third-party CRM to avoid compatibility problems.",NFR
"As a developer, I need the system to work across desktops, tablets, and smartphones without issues.",NFR
"As a manager, I want the application to be compatible with different operating systems to ensure smooth operations.",NFR
"As a manager, I want seamless integration with third-party CRM to avoid compatibility problems.",NFR
"As a admin, I want the application to be compatible with different operating systems to ensure smooth operations.",NFR
"As a analyst, I need the system to work across multiple device types without issues.",NFR
"As a developer, I want the application to be compatible with different operating systems to ensure smooth operations.",NFR
"As a analyst, I want the application to be compatible with different operating systems to ensure smooth operations.",NFR
"As a customer, I want the payment system to support different banks, so that I can use my preferred card.",NFR
"As a remote worker, I want the video call feature to work on various browsers, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t need extra software.",NFR
"As a guest user, I want my profile to sync with other apps, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t have to re-enter information.",NFR
"As an organizer, I want calendar events to integrate with popular scheduling apps, so that I can stay on top of my meetings.",NFR
"As a tourist, I want the map app to support local GPS services, so that I get accurate directions.",NFR
"As an author, I want text formatting to remain intact across word processors, so that my documents stay neat.",NFR
"As a teacher, I want class content to sync between school and home devices, so that I save time.",NFR
"As a consultant, I want project files to work across platforms, so that I collaborate with clients smoothly.",NFR
"As a end-user, I need seamless integration with third-party tools, so that I can automate workflows.",NFR
"As a developer, I want data formats to be compatible across modules, so that information is not lost.",NFR
"As a team leader, I need API endpoints to follow industry standards, so that developers can integrate easily.",NFR
as a a caretaker i want backup generator so that home dialysis wouldnt have to stop during an outtage,FR
as a a command kitchen that controls appliances by voice i want i can remote activate anything even not in the kitchen so that energy,FR
as a a farmer i want to know the weather so that when the rain come and light is high,FR
as a a farmer i want to regulate the motor so that it is very useful for save the water and electricity,FR
as a a headmaster i want maintain the working hours arrange the good teacher for free students so that increase the good result for the school,FR
as a a home owner i want lights that turn on when someone approaches so that so that i can see people outside my home,FR
as a a home owner i want to be able to access my pantry and fridges inventory so that i can get exactly what i need from the grocery store without having to create a list,FR
as a a mother i want remind about homework so that so i dont forget,FR
as a a musician i want microphone picks up voice or instruments and automatically records the sound then transcribes and composes into sheet music so that i can easily get my creative ideas documented,FR
as a a parents i want i want to block strangers from entering my house when the child is alone so that i am tension free,FR
as a a student i want schedule the home work so that very lot of work give importance and get low marks to get alert,FR
as a active person i want a floor that counts how many steps i take a day so that i can track my fitness around the house without any attachments,FR
as a administrator i want to assign a room to a time slot and a location so that i can populate the schedule,FR
as a administrator i want to assign sponsors to events trainings and summits so that they will be featured on the sponsor detail page,FR
as a administrator i want to bulk approve sessions as accepted so that i can save time,FR
as a administrator i want to create and maintain venues so that i can provide location details to help users find what theyre looking for,FR
as a administrator i want to create blog posts so that i can share the latest information about badcamp with the public,FR
as a administrator i want to mark a session as accepted so that i can populate the schedule,FR
as a administrator i want to refund sponsorship money that was processed via stripe so that people get their monies back,FR
as a administrator i want to tag my blog posts for consumption by drupal planet so that they will be listed on the drupal planet blog,FR
as a adult i want smoke detectors that can notify my phone so that i know if there is anything wrong in the house,FR
as a agency data creatorsandbox tester i need to be able to inform the sprint process,FR
as a alcohol drinker i want alcohol supplies to be maintained so that there is sufficient alcohol,FR
as a allergy sufferer i want air quality monitor so that i can be warned of pollutants in the air,FR
as a animal lover i want my smart home to inform me if any animal enters into my home or garage so that i can take steps to make sure that both the animal and my family remain safe from potential threats to one another,FR
as a anonymoususer i want to easily find a link in the menu that links to the registration form so that i can easily register for the camp,FR
as a anonymoususer i want to fill out a user registration form so that i can register for the camp and get an account on the website,FR
as a anonymoususer i want to find out where the coding lounge is and what time it is open so that i can code with my friends,FR
as a anonymoususer i want to find session information so that i can go to a session,FR
as a anonymoususer i want to have a dedicated page for each class to learn more about the offering the following information must be shown logo title trainers location possibly a map view datetime skill level registrations remaining link to register for class the url path should be seo friendly trainingtrainingtitle so that i can choose the right class and the trainer can tweet and promote their class,FR
as a anonymoususer i want to have a link on the home page to a list of training options so that i can take training,FR
as a anonymoususer i want to have a training landing page with an intro section and a list of all training offerings and promote call for trainings so that i can shop for training all with one page and we can have a call for trainings for selection,FR
as a anonymoususer i want to have the training options clearly marked for the following information day and time of training title short summary trainers level number of registrations remaining registrations location of training link to full details of the training register now link so that i can shop for training all with one page and find their class on on one page,FR
as a anonymoususer i want to learn about posting jobs as a sponsor and contact the sponsorship person so that i have the opportunty to post my job listing on the badcamp site,FR
as a anonymoususer i want to learn about sponsorship levels so that i can determine the right level of sponsorship for my organization,FR
as a anonymoususer i want to read the blog so that i can stay informed about all the latest happenings with badcamp,FR
as a anonymoususer i want to receive a notification when i submit a session so that know that my session went through ok,FR
as a anonymoususer i want to receive a notification when sessions have been evaluated so that i know whether ive been accepted or rejected,FR
as a anonymoususer i want to register to speak at badcamp so that i submit a session,FR
as a anonymoususer i want to see a list of all the summits so that i can determine which summit i might be interested and able to attend,FR
as a anonymoususer i want to see a list of all the summits that include when they are so that i can determine which summit i want to attend,FR
as a anonymoususer i want to see a list of attendees associated with this company so that i know who from this sponsor organization is attending,FR
as a anonymoususer i want to see a list of the sessions associated with sponsor attendees so that i know where i can engage with this sponsor and where they are thought leaders,FR
as a anonymoususer i want to see all events trainings and summits that a sponsor is sponsoring so that i know where i can engage with this sponsor and where they are thought leaders,FR
as a anonymoususer i want to see how many seats are left for the summit so that i can make sure to register intime to reserve my spot,FR
as a anonymoususer i want to see specific details on summits so that i can learn more about the summit im interested in to see if it matches my interests register for the event and get dayof knowledge to help me get to the location,FR
as a anonymoususer i want to see the final list of sessions approved so that i can see whats going on at badcamp,FR
as a anonymoususer i want to see the schedule so that i can plan my day and figure out where to go,FR
as a anonymoususer i want to sign up for the badcamp newsletter so that i can stay up to date with the latest communications about badcamp,FR
as a anonymoususer i want to view a list of sponsors so that i can thank all the awesome sponsors,FR
as a anonymoususer i want to view a list of user profiles so that i know who is attending the conference,FR
as a anonymoususer i want to view venue details so that i can get a sense of the location and see the events happening there,FR
as a anxious person i want smart light controls so that i can turn all of the lights off from my bed,FR
as a aquarium owner i want leakage sensors so that if anything around my tank starts to leak i get notified,FR
as a archivist i want bidirectional linking between items in the digital collections and ead finding aids,FR
as a art fan i want an art room so that i can admire my collections,FR
as a artist i want to be able to play around on softwares between screens around my house so that i can work more efficiently,FR
as a as a home occupant i want sensors that will detect rodent activity so that ill know when varmint control measures need to be taken,FR
as a as a lady who lives alone i want smart home to check for movement in my home prior to my entering so that i know that no one is waiting for me on the inside of the home,FR
as a as a parent i want monitor when the baby is waking up from sleep so that turn my concentration towards by baby,FR
as a aspiring baker i want to bake so that my baked goods are considered delicious,FR
as a assistant i want my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it so that it can save my time to search things,FR
as a assistant i want my smart home to have voice command feature to operate activities from bathrooms so that even if i am alone in home and in bathroom i can manage the activities,FR
as a asthmatic i want my home to let me know when dust particulates are high so that dont go into anaphalaxis,FR
as a athlete i want a motivator to alert me when i did not go to the gym so that i can go to the gym and continue my fitness goals,FR
as a athlete i want my treadmill to alert me when i havent used it in too long so that i know i need to exercise,FR
as a attendee i want to be added to a training waitlist so that so they can be considered for a class,FR
as a attendee i want to get detailed directions to the summit venue so that i can get to the summit easily on the day of the event,FR
as a attendee i want to have a very clear map where the buildings and rooms are so that i can make it to class on time,FR
as a attendee i want to register for a summit so that i can reserve my seat at the summit,FR
as a attendee i want to see what summits im signed up for so that i can confirm my attendence and prevent myself from accidentally doublebooking with a training or another summit,FR
as a aunt i want safety outlets so that to prevent my nieces and nephews from getting shocked,FR
as a authenticated user i want to identify myself as and pay for a 350 company sponsorship so that i can easily become a sponsor at this level without having to interface with badcamp personnel to get a sponsorship,FR
as a authenticateduser i want to be offered several choices of idividual sponsorship on the second page of registration so that i can be awesome and financially support the camp,FR
as a authenticateduser i want to edit my session so that if i make a mistake i can correct it,FR
as a authenticateduser i want to enter payment information and have my card charged for an individual sponsorship so that i can pay for an individual sponsorship,FR
as a authenticateduser i want to find a link on the sponsorships page to become a 350 level sponsor so that i can pay for and become a sponsor role,FR
as a authenticateduser i want to see a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship,FR
as a authenticateduser i want to submit a session at badcamp so that i can get my session evaluated,FR
as a authenticateduser i want to update my user profile so that i can connect with other drupalists at badcamp,FR
as a authenticateduser i want to use a wysiwyg editor for all longform content so that i dont have to know html to update my content,FR
as a authenticateduser i want to view the job board so that i can look for an interesting drupal gig,FR
as a avid online shopper i want my smart home to sync with package deliveries so that so that the packages can be left at my door,FR
as a bank account holder i want the app to provide insights into my spending habits so that i can budget more effectively,FR
as a bank customer i want to be able to view my account balance online so that i can keep track of my finances,FR
as a baseball fan i want my smart phone to notify me 10 minutes before the braves games begin and if i dont respond automatically dvr the game so that i dont miss a single game,FR
as a basic data entry user i want to create and update basic archival description information,FR
as a batch submitter i want documentation describing the folder ingest process,FR
as a batch submitter id like to be able to provide my data and metadata in a simple documented format to the repository staff for ingest,FR
as a bath data archive administrator i want to encourage and promote the use of open standards for deposit so that data is as reusable as possible,FR
as a bath data archive administrator i want to make some checks on deposited datasets before they are made public so that consistent quality of metadata is maintained compliance with policies can be checked and details of licensing can be checked,FR
as a bath data archive administrator i want to query the entire archive so that i can report on particular aspects of the archive holdings,FR
as a bath data archive administrator i want to require a minimum set of metadata so that consistent quality of metadata is maintained,FR
as a bath taker i want a feature that can fill a tub remotely to the temperature i set as well as dispense correct amounts of soapbubble bath so that i can do other things while the tub is filling or i can have the tub ready for me when i get in,FR
as a bath taker i want set temp just right so that good bath,FR
as a bbq lover i want smart thermometer so that i know when the meat is ready from inside my house while its in the barbecue or oven,FR
as a beta user i want to be able to browse the data from the homepage,FR
as a beta user i want to discover content on the homepage thats not map related,FR
as a beta user i want to see how we spend money on different categories,FR
as a bill payer i want a thermostat that learns my schedule and selfadjusts so that i know i am saving as much as possible on my home heating costs,FR
as a bill payer i want lights to automatically turn off when no motion is detected in a room so that i will save on bills,FR
as a bill payer i want lights to turn off if no one has entered a room during a given period so that i can save electricity,FR
as a bill payer i want measurements of what each appliance draws in voltage so that i can conserve energy,FR
as a bill payer i want my phone to tell me the temp in my house and allow me to adjust it so that i can keep my bill lower,FR
as a billing department employee i want to see the date of an appointment so that i can check if the bill is correct,FR
as a billing department employee i want to see the start and end time of an appointment so that i can check if bill is correct,FR
as a billing department employee i want to view the appointment information that the doctor entered into the system so that i can check if the bill is correct,FR
as a billing specialist i want to process insurance claims electronically so that we can streamline billing and reduce paperwork,FR
as a bird owner i want ceiling fans to shut off when bird is in the room so that he doesnt get chopped,FR
as a blood bank manager i want the app to help in predicting donation trends so that we can better prepare for future needs,FR
as a blood recipient i want to thank donors through the app so that i can express my gratitude for their contribution,FR
as a board game geek i want a robot that automatically keeps track of gaming pieces and can set up a game and put it away so that i dont ever lose pieces from board games and dont waste time setting it up and cleaning it back up,FR
as a book lover i want lights that i can adjust from my chair so that i can continue to read without worry about eye strain,FR
as a borrower i want to search by title so that i can check it exists or not on database,FR
as a bread eater i want my toaster to send me a text so that i can know when the toast is finished without looking at the toaster,FR
as a bride or groom i want to be able to collaborate and communicate with my wedding party and guests,FR
as a bride or groom i want to be able to create a wedding checklist and timeline to keep track of all the tasks and deadlines,FR
as a bride or groom i want to be able to create and share my wedding registry,FR
as a bride or groom i want to be able to manage my wedding budget and expenses,FR
as a bride or groom i want to be able to plan and schedule my wedding ceremony and reception,FR
as a bride or groom i want to be able to search for and book wedding venues and vendors,FR
as a broker team member i want to add the and forgn ppopcode cases to the derivation logic,FR
as a broker team member i want to derive fundingagencycode so that the data quality and completeness improves,FR
as a broker team member i want to ensure the broker resources validations and pp pages are updated appropriately for the launch of fabs and daims v11,FR
as a broker team member i want to make some updates to the sql codes for clarity,FR
as a broker user i want the historical fabs loader to derive fields so that my agency codes are correct in the publishedawardfinancialassistance table,FR
as a broker user i want to have ppopzip4 work the same as the legal entity zip validations,FR
as a broker user i want to have updated error codes that accurately reflect the logic and provide enough information so that i can fix my submission,FR
as a broker user i want to submit records for individual recipients without receiving a duns error,FR
as a broker user i want to upload and validate the error message to have accurate text,FR
as a business analyst i want the system to generate accurate reports so that i can make informed decisions,FR
as a business owner i want a home that is also like an assistant so that i can keep up to date with my responsibilities,FR
as a business owner i want the ability to review and approve payroll before its finalized so that i can ensure its accuracy,FR
as a business owner i want the inventory system to accurately reflect stock levels so that i can manage my supply chain effectively,FR
as a business owner i want the system to alert me about payroll anomalies so that i can investigate and resolve potential issues promptly,FR
as a business owner i want the system to alert me when payroll costs exceed budgeted amounts so that i can take corrective actions,FR
as a business owner i want the system to generate payrollrelated tax documents so that we can streamline our tax reporting processes,FR
as a business owner i want the system to provide insights into payroll trends over time so that i can identify and analyze changes in wage expenses,FR
as a business owner i want to be able to track the time spent on each task or project so that i can accurately bill clients and optimize my teams productivity,FR
as a business owner i want to easily adjust payroll for seasonal or parttime workers so that i can manage variable workforce costs,FR
as a business owner i want to generate custom reports on payroll for different departments so that i can make informed business decisions,FR
